stratum,n_kept,auroc,ci_low,ci_high,ece,brier
cross_lab,13624,0.8620403784945403,0.8556565228130192,0.8684242341760614,0.01999170463988569,0.1273695571704549
cross_context,5386,0.7805048453898429,0.767186894033924,0.7938227967457617,0.039680105278112596,0.16509741317475654
cross_cell_type,213,0.6175349991139464,0.5445790090747484,0.6904909891531443,0.09248084164485679,0.24526189185452005
cross_study,8327,0.5265090225893692,0.5127800569048093,0.540237988273929,0.09068699968312743,0.18830690114756465
cross_study_same_cell,110,0.28832752613240425,0.18854093264829777,0.38811411961651077,0.19131163782370764,0.212776473382488
